TOTAL_NUMBER_OF_VISITS,TOTAL_DURATION_SPENT,AVERAGE_DURATION_PER_VISIT,TOTAL_CHIPS_WON_OR_LOST,AVERAGE_CHIPS_WON_OR_LOST_PER_VISIT,UNIQUE_GAMES_PLAYED,IS_PREMIUM_PLAYER,IS_LOYALTY_CARD_HOLDER,TOTAL_AMOUNT_SPENT_IN_HOTEL,TOTAL_DAYS_SPENT_HOTEL,TOTAL_AMOUNT_SPENT_IN_CASINO_RESTAURANT,NUMBER_OF_RESTAURANT_VISITS,TOTAL_AMOUNT_SPENT_IN_SPA,NUMBER_OF_SPA_VISITS,TOTAL_REVENUE_TO_CASINO,NUMBER_OF_CONCIERGE_VISITS,PREFERRED_GAME_CATEGORY,PREFERRED_GAME_NAME,AGE,GENDER,HOME_COUNTRY,HOME_CITY,VISIT_FREQUENCY,CLUSTERS,PLAYER_SEGMENT,SEGMENT_DESC
16,73.01,4.563125,-665,-41.5625,8,True,True,16761.63,168,4641.46,88,6740.9,30,28808.99,70,0,9,28,0,0,12,-0.043243243243243246,0,High roller Professionals,"Risk taking professional, regular players with deep pockets spending across services"
17,75.23,4.425294117647059,-575,-33.8235294117647,7,True,False,17606.6,102,4329.05,93,8150.969999999999,32,30661.62,74,1,2,69,0,1,29,0.03811659192825112,0,High roller Professionals,"Risk taking professional, regular players with deep pockets spending across services"
18,89.0,4.944444444444445,1052,58.44444444444444,9,False,True,29230.190000000002,186,4920.18,87,9956.91,32,43055.28,64,0,9,52,0,1,29,-0.13740458015267176,0,High roller Professionals,"Risk taking professional, regular players with deep pockets spending across services"
25,98.67,3.9468,2910,116.4,9,True,False,34051.7,172,6511.57,119,14235.4,42,51888.67,94,1,6,41,0,0,8,0.023062730627306273,1,Conservative Low spenders,"Low spends, low money making low risk players"
21,90.36,4.3028571428571425,878,41.80952380952381,10,True,False,25572.89,124,5895.5,80,9832.289999999999,43,40422.68,67,0,4,66,0,2,19,-0.08571428571428572,0,High roller Professionals,"Risk taking professional, regular players with deep pockets spending across services"
28,122.34,4.369285714285715,-3168,-113.14285714285714,10,False,True,44499.61,157,7829.84,115,14644.0,49,70141.45,108,0,0,59,1,0,8,0.042042042042042045,2,Mediocre cross spending players,"Budding good Players with potential to win, exploring multiple casino services"
19,70.37,3.703684210526316,6110,321.57894736842104,10,False,False,17941.11,60,4159.12,83,10700.75,49,26690.98,72,1,2,68,1,0,1,0.01860920666013712,0,High roller Professionals,"Risk taking professional, regular players with deep pockets spending across services"
18,83.6,4.644444444444444,-3704,-205.77777777777777,10,False,False,39950.32,256,4850.22,81,10458.720000000001,45,58963.26,98,2,1,61,1,3,26,-0.03696098562628337,1,Conservative Low spenders,"Low spends, low money making low risk players"
26,122.77,4.721923076923077,-1707,-65.65384615384616,11,False,False,35188.18,222,7075.76,131,14924.54,49,58895.48,118,0,9,51,1,2,2,0.06649616368286446,2,Mediocre cross spending players,"Budding good Players with potential to win, exploring multiple casino services"
19,78.54,4.133684210526316,220,11.578947368421053,11,True,False,26394.73,153,5282.86,85,10453.25,48,41910.840000000004,99,0,9,67,0,2,3,0.02237926972909305,1,Conservative Low spenders,"Low spends, low money making low risk players"
18,70.73,3.9294444444444445,1912,106.22222222222223,8,False,False,16033.5,90,5048.49,53,7995.26,25,27165.25,95,1,2,78,1,0,5,-0.46153846153846156,0,High roller Professionals,"Risk taking professional, regular players with deep pockets spending across services"
24,98.78999999999999,4.11625,4403,183.45833333333334,10,False,False,18300.26,154,7311.72,139,12665.21,53,33874.19,119,0,0,74,0,0,8,-0.045889101338432124,1,Conservative Low spenders,"Low spends, low money making low risk players"
19,94.83,4.991052631578947,-1650,-86.84210526315789,9,False,False,33811.619999999995,213,5007.08,84,10774.16,36,51242.86,97,0,0,47,1,2,9,-0.06884057971014493,1,Conservative Low spenders,"Low spends, low money making low risk players"
17,57.78,3.398823529411765,1466,86.23529411764706,10,False,False,15697.880000000001,110,3784.66,81,9985.09,32,28001.63,78,0,9,24,0,1,29,-3.4,0,High roller Professionals,"Risk taking professional, regular players with deep pockets spending across services"
26,113.33,4.358846153846153,2207,84.88461538461539,10,True,False,27667.07,189,6786.5199999999995,109,11595.59,55,43842.18,125,1,2,64,0,0,0,0.06701030927835051,2,Mediocre cross spending players,"Budding good Players with potential to win, exploring multiple casino services"
32,143.41,4.4815625,-163,-5.09375,11,False,True,64979.4,324,8691.75,113,12996.65,58,86830.8,151,2,1,72,1,3,23,0.03975155279503106,2,Mediocre cross spending players,"Budding good Players with potential to win, exploring multiple casino services"
23,85.85,3.7326086956521736,835,36.30434782608695,9,False,False,23241.19,166,6204.6900000000005,83,12843.75,43,41454.63,126,1,10,56,1,3,25,-0.027878787878787878,1,Conservative Low spenders,"Low spends, low money making low risk players"
24,107.74,4.489166666666667,-282,-11.75,9,False,False,17743.16,152,6906.1,117,12892.46,49,37823.72,93,1,10,62,0,3,25,0.16551724137931034,1,Conservative Low spenders,"Low spends, low money making low risk players"
20,105.23,5.2615,-2386,-119.3,11,False,True,17425.86,169,5121.15,80,10663.369999999999,41,35596.38,91,2,5,47,1,3,21,-0.036231884057971016,1,Conservative Low spenders,"Low spends, low money making low risk players"
17,82.36,4.844705882352941,-308,-18.11764705882353,10,True,False,12554.94,70,3558.34,67,8896.42,39,25317.7,71,0,0,70,0,3,7,0.02800658978583196,3,Money losing players,Money losing players
15,71.9,4.793333333333334,1763,117.53333333333333,8,False,False,22351.300000000003,110,3732.18,76,8611.58,35,32932.06,61,2,3,22,0,2,3,-0.022354694485842028,0,High roller Professionals,"Risk taking professional, regular players with deep pockets spending across services"
20,97.68,4.884,623,31.15,9,True,False,15320.09,96,5085.04,95,8442.92,48,28225.050000000003,112,2,5,76,0,3,22,0.030303030303030304,1,Conservative Low spenders,"Low spends, low money making low risk players"
13,47.199999999999996,3.6307692307692303,22,1.6923076923076923,8,False,False,17205.05,116,2889.25,70,5224.53,32,25296.83,65,1,10,51,1,1,29,-0.05263157894736842,3,Money losing players,Money losing players
24,114.02,4.7508333333333335,3068,127.83333333333333,10,True,True,24823.43,182,7609.2300000000005,110,10815.210000000001,58,40179.869999999995,100,0,4,61,1,0,24,-6.0,2,Mediocre cross spending players,"Budding good Players with potential to win, exploring multiple casino services"
18,84.97,4.720555555555555,-108,-6.0,9,False,False,14487.66,78,5100.73,59,6337.42,38,26033.81,76,0,0,80,1,2,4,0.15254237288135594,0,High roller Professionals,"Risk taking professional, regular players with deep pockets spending across services"
22,106.75,4.8522727272727275,625,28.40909090909091,9,False,False,30822.98,204,4555.93,119,10344.23,46,45098.14,106,1,2,52,0,1,29,0.10891089108910891,1,Conservative Low spenders,"Low spends, low money making low risk players"
24,121.12,5.046666666666667,-399,-16.625,11,False,False,49680.29,245,6568.63,105,10595.56,52,67243.48,109,2,5,55,0,0,8,-0.03274215552523874,2,Mediocre cross spending players,"Budding good Players with potential to win, exploring multiple casino services"
