PLAYER_ID,AGE,GENDER,HOME_COUNTRY,HOME_CITY,DATE_FIRST_VISIT,DATE_LAST_VISIT,TOTAL_NUMBER_OF_VISITS,TOTAL_DURATION_SPENT,AVERAGE_DURATION_PER_VISIT,TOTAL_CHIPS_WON_OR_LOST,AVERAGE_CHIPS_WON_OR_LOST_PER_VISIT,UNIQUE_GAMES_PLAYED,IS_PREMIUM_PLAYER,IS_LOYALTY_CARD_HOLDER,TOTAL_AMOUNT_SPENT_IN_HOTEL,TOTAL_DAYS_SPENT_HOTEL,TOTAL_AMOUNT_SPENT_IN_CASINO_RESTAURANT,NUMBER_OF_RESTAURANT_VISITS,TOTAL_AMOUNT_SPENT_IN_SPA,NUMBER_OF_SPA_VISITS,TOTAL_REVENUE_TO_CASINO,NUMBER_OF_CONCIERGE_VISITS,PREFERRED_GAME_CATEGORY,PREFERRED_GAME_NAME
1,28,Female,India,Hyderabad,02-10-2021,19-08-2024,24,111.17,4.632083333,4048,168.6666667,8,FALSE,TRUE,26043.68,181,5634.89,111,11490.81,51,39121.38,96,Slot games,Video Slots
2,69,Female,Singapore,Singapore,06-09-2021,17-08-2024,24,114.26,4.760833333,-2159,-89.95833333,10,TRUE,FALSE,28966.09,207,7598.32,105,14077.87,50,52801.28,102,Slot games,3D Slots
3,52,Female,Singapore,Singapore,27-11-2021,22-06-2024,17,81.23,4.778235294,-419,-24.64705882,9,FALSE,FALSE,23593.94,109,4642.91,96,10904.3,35,39560.15,66,Table games,Roulette
4,41,Female,India,Delhi,10-10-2021,18-05-2024,17,69.72,4.101176471,-246,-14.47058824,9,TRUE,FALSE,23461.3,86,5322.28,85,6804.14,36,35833.72,78,Table games,Roulette
5,66,Female,UK,Manchester,08-09-2021,01-08-2024,15,70.89,4.726,-755,-50.33333333,8,TRUE,TRUE,24073.65,141,4136.14,63,7313.53,31,36278.32,82,Table games,Poker
6,59,Male,India,Delhi,11-12-2021,09-06-2024,20,86.02,4.301,2114,105.7,9,FALSE,TRUE,23978.09,183,4535.15,76,9415.25,40,35814.49,95,Speciality Number Games,Bingo
7,68,Male,India,Bangalore,04-09-2021,25-07-2024,19,76.2,4.010526316,2302,121.1578947,8,FALSE,TRUE,13020.62,109,4773.18,58,9877.53,28,25369.33,83,Speciality Number Games,Bingo
8,61,Male,US,San Diego,28-10-2021,19-08-2024,20,87.59,4.3795,4754,237.7,10,FALSE,FALSE,20532.22,119,5316.18,97,8614.78,40,29709.18,83,Slot games,3D Slots
9,51,Male,UK,Birmingham,19-10-2021,29-07-2024,22,107.69,4.895,-1417,-64.40909091,10,FALSE,TRUE,46667.51,203,5495.5,88,13255.58,49,66835.59,87,Slot games,Video Slots
10,67,Female,UK,Bristol,03-09-2021,02-06-2024,24,103.12,4.296666667,2754,114.75,9,FALSE,TRUE,37179.09,217,6205.69,129,13507.39,41,54138.17,135,Speciality Number Games,Bingo
11,78,Male,India,Chennai,12-12-2021,03-08-2024,22,106.81,4.855,4731,215.0454545,11,FALSE,TRUE,28758.25,127,5148.97,91,12413.06,55,41589.28,98,Table games,Blackjack
12,74,Female,India,Delhi,23-09-2021,17-08-2024,22,118.16,5.370909091,-2029,-92.22727273,11,FALSE,FALSE,23339.96,149,5393.02,81,10878.84,48,41640.82,122,Speciality Number Games,Bingo
13,47,Male,UK,Edinburgh,05-11-2021,26-07-2024,16,69.46,4.34125,-865,-54.0625,7,FALSE,FALSE,25331.84,137,3380.26,66,8497.32,30,38074.42,84,Speciality Number Games,Wheel of Fortune
14,24,Female,Singapore,Singapore,22-10-2021,06-06-2024,21,100.27,4.774761905,-1397,-66.52380952,10,FALSE,TRUE,36890.38,203,6479.89,118,9381.25,37,54148.52,108,Slot games,3D Slots
15,64,Female,India,Ahmedabad,06-12-2021,18-08-2024,19,81.79,4.304736842,-1263,-66.47368421,11,TRUE,TRUE,31995.93,158,5303.8,96,9473.81,33,48036.54,92,Slot games,3D Slots
16,72,Male,US,Phoenix,23-11-2021,25-08-2024,21,81.76,3.893333333,-5506,-262.1904762,9,TRUE,FALSE,31152.83,216,5457.46,114,8225.17,48,50341.46,82,Speciality Number Games,Keno
17,56,Male,US,San Antonio,15-09-2021,30-08-2024,14,61.26,4.375714286,-199,-14.21428571,7,TRUE,FALSE,16293.49,129,3741.16,71,6417.68,22,26651.33,67,Speciality Number Games,Wheel of Fortune
18,62,Female,US,San Antonio,28-09-2021,18-08-2024,26,116.96,4.498461538,-4387,-168.7307692,11,FALSE,TRUE,36178.48,239,7121.45,120,14703.67,47,62390.6,115,Speciality Number Games,Wheel of Fortune
19,47,Male,US,New York,13-12-2021,12-08-2024,23,113.61,4.939565217,-929,-40.39130435,11,FALSE,FALSE,38439.68,222,6180.45,104,9166.12,53,54715.25,87,Table games,Poker
20,70,Female,US,Dallas,02-09-2021,25-07-2024,17,86.94,5.114117647,3889,228.7647059,9,FALSE,TRUE,25018.86,166,4788.15,60,9706.5,32,35624.51,69,Speciality Number Games,Bingo
21,22,Female,UK,Bristol,25-12-2021,25-07-2024,24,105.89,4.412083333,-215,-8.958333333,11,FALSE,TRUE,34552.25,142,4748.02,97,11696.48,48,51211.75,100,Speciality Number Games,Keno
22,76,Female,US,Philadelphia,24-11-2021,30-07-2024,13,49.57,3.813076923,-839,-64.53846154,8,TRUE,TRUE,14354.29,95,3135.57,67,5571.78,27,23900.64,58,Speciality Number Games,Keno
23,51,Male,Singapore,Singapore,04-11-2021,10-06-2024,14,56.27,4.019285714,-2645,-188.9285714,7,TRUE,FALSE,19646.53,123,4421.69,72,6758.19,32,33471.41,71,Slot games,3D Slots
24,61,Male,India,Pune,05-09-2021,28-07-2024,16,70.86,4.42875,2412,150.75,5,TRUE,TRUE,15605.02,76,4636.57,82,8810.82,38,26640.41,68,Speciality Number Games,Wheel of Fortune
25,80,Male,UK,Cardiff,02-10-2021,19-06-2024,23,110.75,4.815217391,-2079,-90.39130435,10,TRUE,FALSE,40484.14,181,4150.86,98,12565.48,41,59279.48,90,Speciality Number Games,Bingo
26,52,Female,Singapore,Singapore,01-09-2021,03-08-2024,24,103.37,4.307083333,-1396,-58.16666667,9,TRUE,TRUE,33911.04,182,6599.1,117,12441.95,39,54348.09,124,Speciality Number Games,Keno
27,55,Female,India,Delhi,23-11-2021,14-03-2024,16,78.49,4.905625,100,6.25,9,FALSE,TRUE,14949.74,79,4521.26,65,7549.76,33,26920.76,74,Slot games,Video Slots
28,69,Male,India,Mumbai,15-09-2021,30-07-2024,10,41.22,4.122,200,20,7,FALSE,FALSE,4631.16,46,2964.35,55,4804.74,25,12200.25,40,Speciality Number Games,Wheel of Fortune
29,62,Female,UK,Birmingham,13-10-2021,04-06-2024,16,89.28,5.58,-1004,-62.75,7,FALSE,TRUE,12261.81,61,3480.7,75,8562.57,24,25309.08,71,Table games,Blackjack
30,65,Male,US,Chicago,18-09-2021,14-08-2024,20,91.43,4.5715,2992,149.6,11,FALSE,FALSE,25622.85,158,6074.08,102,9925.59,44,38630.52,115,Table games,Craps
31,76,Female,India,Chennai,25-01-2022,19-06-2024,20,88.42,4.421,3083,154.15,11,TRUE,FALSE,28213.09,167,5885.69,84,10822.74,26,41838.52,71,Table games,Roulette
32,79,Male,Singapore,Singapore,07-11-2021,30-11-2023,13,62.85,4.834615385,-633,-48.69230769,8,TRUE,FALSE,22640.12,103,2538.06,46,6376.16,19,32187.34,50,Table games,Blackjack
33,42,Male,UK,London,17-10-2021,06-07-2024,15,80.27,5.351333333,1579,105.2666667,7,TRUE,FALSE,24440.13,124,4846.02,67,8883.63,28,36590.78,47,Speciality Number Games,Keno
34,25,Female,US,New York,17-10-2021,08-08-2024,14,52.07,3.719285714,-504,-36,8,TRUE,FALSE,16101.68,84,4372.12,40,7951.61,35,28929.41,45,Table games,Poker
35,74,Female,India,Pune,03-10-2021,25-07-2024,26,127.66,4.91,-3457,-132.9615385,10,TRUE,FALSE,15701.17,113,6429.73,116,12931.63,62,38519.53,103,Slot games,Video Slots
36,42,Female,US,Philadelphia,11-11-2021,03-08-2024,22,89,4.045454545,-482,-21.90909091,7,TRUE,FALSE,18685.84,123,5185.45,98,10831.75,35,35185.04,138,Slot games,3D Slots
37,60,Female,Singapore,Singapore,02-09-2021,21-07-2024,30,143.54,4.784666667,-2980,-99.33333333,9,FALSE,TRUE,28810.87,255,8283.92,158,14982.11,56,55056.9,136,Slot games,Video Slots
38,60,Female,India,Ahmedabad,01-10-2021,13-08-2024,23,105.26,4.576521739,-3943,-171.4347826,11,TRUE,FALSE,37360.83,217,7432.48,99,10716.81,46,59453.12,107,Speciality Number Games,Bingo
39,71,Male,US,San Diego,10-10-2021,15-06-2024,23,103.91,4.517826087,-3963,-172.3043478,11,FALSE,TRUE,40899.03,161,5415.37,94,11370.42,44,61647.82,111,Slot games,3D Slots
40,72,Female,US,Chicago,14-11-2021,08-08-2024,15,69.67,4.644666667,98,6.533333333,7,TRUE,FALSE,24421.38,163,3786.76,60,8455.46,30,36565.6,71,Speciality Number Games,Wheel of Fortune
41,51,Female,Singapore,Singapore,20-11-2021,13-08-2024,25,130.14,5.2056,2222,88.88,9,TRUE,TRUE,21705.74,147,6976.73,87,13017.43,47,39477.9,128,Speciality Number Games,Keno
42,52,Female,UK,Sheffield,02-09-2021,07-06-2024,18,84.5,4.694444444,2087,115.9444444,9,FALSE,FALSE,23064.37,111,5050.42,95,9215.31,38,35243.1,86,Table games,Craps
43,56,Female,Singapore,Singapore,11-09-2021,22-06-2024,18,73.75,4.097222222,-1534,-85.22222222,9,FALSE,TRUE,25697.64,174,4284.74,73,7607.55,39,39123.93,86,Speciality Number Games,Bingo
44,80,Male,UK,Sheffield,12-04-2022,29-06-2024,19,65.2,3.431578947,-500,-26.31578947,8,TRUE,FALSE,13808.6,96,6017.05,87,11286.35,41,31612,84,Slot games,Video Slots
45,58,Female,Singapore,Singapore,25-09-2021,08-08-2024,28,130.12,4.647142857,-577,-20.60714286,10,FALSE,TRUE,31635.69,215,7267.47,118,13611.25,46,53091.41,126,Speciality Number Games,Wheel of Fortune
46,79,Female,US,Chicago,09-09-2021,14-03-2024,27,112.06,4.15037037,979,36.25925926,10,TRUE,FALSE,19294.48,167,7315.11,122,13127.89,51,38758.48,93,Speciality Number Games,Bingo
47,67,Female,US,New York,22-11-2021,09-03-2024,14,62.81,4.486428571,2389,170.6428571,9,TRUE,FALSE,17216.63,100,4516.04,54,7316.78,37,26660.45,68,Speciality Number Games,Keno
48,63,Male,UK,Cardiff,12-09-2021,25-08-2024,20,83.52,4.176,2132,106.6,10,FALSE,TRUE,29459.29,200,5090.48,95,9209.61,40,41627.38,70,Slot games,3D Slots
49,73,Male,US,Philadelphia,24-09-2021,13-08-2024,22,97.43,4.428636364,-185,-8.409090909,10,FALSE,TRUE,28131.23,163,5436.17,116,10434.61,52,44187.01,88,Table games,Roulette
50,48,Female,UK,Birmingham,20-09-2021,23-08-2024,16,60.69,3.793125,2168,135.5,8,TRUE,TRUE,27893.28,163,5052.45,73,7958.95,38,38736.68,70,Slot games,3D Slots
51,58,Male,India,Jaipur,20-09-2021,06-07-2024,24,108.62,4.525833333,-6222,-259.25,10,TRUE,FALSE,31662.05,163,7204.24,98,9555.08,48,54643.37,100,Speciality Number Games,Bingo
52,77,Male,US,San Antonio,23-12-2021,16-04-2024,19,69.54,3.66,3288,173.0526316,9,FALSE,FALSE,21048.57,99,4447.4,92,10099.3,45,32307.27,87,Slot games,3D Slots
53,50,Male,US,Los Angeles,12-09-2021,24-05-2024,15,71.14,4.742666667,-886,-59.06666667,8,FALSE,FALSE,27204.17,195,4458.08,54,7849.59,29,40397.84,67,Speciality Number Games,Wheel of Fortune
54,61,Male,UK,Edinburgh,03-11-2021,05-08-2024,23,105.48,4.586086957,1390,60.43478261,9,TRUE,TRUE,47932.09,193,5386.44,117,12751.53,55,64680.06,79,Slot games,Video Slots
55,51,Male,UK,Manchester,29-09-2021,21-06-2024,20,98.69,4.9345,-563,-28.15,9,FALSE,FALSE,27609.02,176,4498.71,110,10461.07,34,43131.8,76,Slot games,Video Slots
56,72,Male,UK,Birmingham,06-10-2021,28-07-2024,18,82.58,4.587777778,1633,90.72222222,8,TRUE,TRUE,26401.06,163,4358.75,60,9856.79,41,38983.6,77,Slot games,3D Slots
57,53,Female,US,Houston,05-09-2021,06-08-2024,16,68.83,4.301875,-2715,-169.6875,8,TRUE,FALSE,22772.09,138,4420.97,68,6491.66,30,36399.72,85,Slot games,Classic Slots
58,67,Male,UK,Edinburgh,15-10-2021,27-08-2024,23,105.12,4.570434783,3874,168.4347826,9,TRUE,FALSE,22187.26,158,6403.61,86,11611.36,48,36328.23,82,Slot games,3D Slots
59,77,Female,UK,Leeds,12-02-2022,17-08-2024,15,65.48,4.365333333,3548,236.5333333,9,TRUE,FALSE,21168.15,107,4117.11,54,7887.22,29,29624.48,57,Table games,Poker
60,75,Male,US,Phoenix,08-10-2021,16-07-2024,19,80.06,4.213684211,98,5.157894737,11,FALSE,FALSE,31226.14,159,4713.56,76,9189.23,42,45030.93,78,Speciality Number Games,Bingo
61,52,Female,US,San Antonio,04-10-2021,20-08-2024,22,101.41,4.609545455,-3868,-175.8181818,9,FALSE,TRUE,14559.75,87,5233.52,86,11464.02,41,35125.29,101,Speciality Number Games,Bingo
62,53,Female,UK,Edinburgh,16-01-2022,10-04-2024,14,52.92,3.78,6881,491.5,6,FALSE,TRUE,27422.95,191,3318.74,50,7353.07,35,31213.76,79,Table games,Craps
63,45,Female,UK,Glasgow,09-09-2021,27-08-2024,25,107.79,4.3116,256,10.24,9,FALSE,FALSE,42257.62,216,6410.04,118,12463.73,51,60875.39,88,Table games,Poker
64,45,Male,India,Jaipur,25-09-2021,23-08-2024,26,104.44,4.016923077,357,13.73076923,10,FALSE,TRUE,38410,220,7556.35,86,12735.66,57,58345.01,130,Speciality Number Games,Wheel of Fortune
65,73,Female,India,Pune,18-09-2021,31-08-2024,18,77.73,4.318333333,1092,60.66666667,9,TRUE,TRUE,23199.81,121,4539.52,81,13183.52,43,39830.85,96,Speciality Number Games,Keno
66,63,Male,UK,Sheffield,03-02-2022,04-08-2024,25,110.15,4.406,-2870,-114.8,10,TRUE,TRUE,31896.74,226,6162.64,143,12415.92,58,53345.3,113,Speciality Number Games,Bingo
67,78,Female,UK,Bristol,20-09-2021,16-08-2024,20,84.65,4.2325,1212,60.6,8,TRUE,TRUE,24649.22,121,5498.99,88,8314,45,37250.21,113,Table games,Roulette
68,50,Female,Singapore,Singapore,15-09-2021,18-05-2024,19,90.97,4.787894737,-2788,-146.7368421,10,TRUE,TRUE,19192.85,141,5360.1,87,11332.78,35,38673.73,62,Speciality Number Games,Wheel of Fortune
69,56,Female,US,San Diego,02-01-2022,08-06-2024,19,74.52,3.922105263,6,0.315789474,8,TRUE,FALSE,32946.55,242,5057.88,90,11390.46,46,49388.89,105,Slot games,Classic Slots
70,52,Male,UK,Bristol,23-09-2021,06-07-2024,20,85.06,4.253,1355,67.75,11,FALSE,TRUE,23754.17,132,5739.39,75,7742.77,34,35881.33,86,Slot games,Classic Slots
71,37,Female,Singapore,Singapore,20-09-2021,31-05-2024,18,83.31,4.628333333,713,39.61111111,8,FALSE,FALSE,15131.82,78,4548.98,62,10877.05,44,29844.85,64,Slot games,Classic Slots
72,67,Male,US,Philadelphia,24-10-2021,13-08-2024,24,96.6,4.025,797,33.20833333,9,FALSE,TRUE,31812.81,173,5467.03,119,12299.83,34,48782.67,111,Slot games,3D Slots
73,75,Male,UK,Glasgow,05-09-2021,01-08-2024,18,91.3,5.072222222,-524,-29.11111111,7,TRUE,TRUE,30856.26,199,4729.14,114,7856.76,38,43966.16,84,Speciality Number Games,Bingo
74,71,Male,India,Mumbai,08-10-2021,13-07-2024,23,105.14,4.571304348,709,30.82608696,10,FALSE,FALSE,33898.27,206,5920.73,84,10244.96,45,49354.96,119,Speciality Number Games,Keno
75,62,Female,India,Bangalore,18-09-2021,21-08-2024,23,116.51,5.065652174,-3816,-165.9130435,10,TRUE,TRUE,32694.71,244,6348.6,100,11788.98,44,54648.29,112,Speciality Number Games,Bingo
76,53,Female,Singapore,Singapore,19-09-2021,03-08-2024,25,113.66,4.5464,2164,86.56,9,TRUE,TRUE,41758.14,197,6803.93,107,13368.54,47,59766.61,111,Slot games,Video Slots
77,54,Female,India,Bangalore,08-10-2021,28-06-2024,18,80.14,4.452222222,-2007,-111.5,8,TRUE,TRUE,21980.4,116,4074.36,70,10672.52,31,38734.28,96,Table games,Baccarat
