hotel,room_type,market_segment,deposit_type,meal,distribution_channel,customer_type,arrival_date,adr,room_limit,total_rns
City Hotel,A,Online TA,No Deposit,BB,TA/TO,Transient,2021-07-01 00:00:00,94.0,150.0,2
City Hotel,A,Offline TA/TO,No Deposit,HB,TA/TO,Transient,2021-07-01 00:00:00,96.64516129032258,150.0,62
Resort Hotel,A,Offline TA/TO,No Deposit,BB,TA/TO,Contract,2021-07-01 00:00:00,62.64,150.0,2
Resort Hotel,A,Online TA,No Deposit,BB,TA/TO,Transient,2021-07-01 00:00:00,76.44,150.0,5
Resort Hotel,A,Direct,No Deposit,BB,Direct,Transient,2021-07-01 00:00:00,76.58500000000001,150.0,4
Resort Hotel,A,Offline TA/TO,No Deposit,HB,TA/TO,Contract,2021-07-01 00:00:00,82.35,150.0,1
Resort Hotel,A,Corporate,No Deposit,BB,Corporate,Transient,2021-07-01 00:00:00,112.605,150.0,4
Resort Hotel,A,Offline TA/TO,No Deposit,BB,TA/TO,Transient,2021-07-01 00:00:00,71.045,150.0,2
Resort Hotel,D,Online TA,No Deposit,HB,TA/TO,Transient,2021-07-01 00:00:00,145.0,75.0,1
Resort Hotel,D,Direct,No Deposit,BB,Direct,Transient,2021-07-01 00:00:00,99.67,75.0,1
Resort Hotel,D,Offline TA/TO,No Deposit,BB,TA/TO,Transient,2021-07-01 00:00:00,63.730000000000004,75.0,2
Resort Hotel,D,Offline TA/TO,No Deposit,BB,TA/TO,Contract,2021-07-01 00:00:00,79.5,75.0,1
Resort Hotel,D,Online TA,No Deposit,BB,TA/TO,Transient,2021-07-01 00:00:00,108.575,75.0,4
Resort Hotel,E,Offline TA/TO,No Deposit,BB,TA/TO,Contract,2021-07-01 00:00:00,97.5,60.0,1
Resort Hotel,E,Direct,No Deposit,BB,Direct,Transient,2021-07-01 00:00:00,80.0,60.0,1
Resort Hotel,E,Online TA,No Deposit,BB,TA/TO,Transient,2021-07-01 00:00:00,94.71,60.0,1
City Hotel,A,Online TA,No Deposit,BB,TA/TO,Transient,2021-07-02 00:00:00,94.0,150.0,2
City Hotel,A,Groups,No Deposit,HB,TA/TO,Transient.Party,2021-07-02 00:00:00,58.67,150.0,1
City Hotel,A,Offline TA/TO,No Deposit,HB,TA/TO,Transient,2021-07-02 00:00:00,96.64516129032258,150.0,62
Resort Hotel,A,Offline TA/TO,No Deposit,BB,TA/TO,Contract,2021-07-02 00:00:00,62.857142857142854,150.0,7
Resort Hotel,A,Offline TA/TO,No Deposit,BB,TA/TO,Transient,2021-07-02 00:00:00,66.635,150.0,4
Resort Hotel,A,Online TA,No Deposit,BB,TA/TO,Transient,2021-07-02 00:00:00,100.35,150.0,8
Resort Hotel,A,Offline TA/TO,No Deposit,HB,TA/TO,Contract,2021-07-02 00:00:00,71.35,150.0,4
Resort Hotel,A,Direct,No Deposit,BB,Direct,Transient,2021-07-02 00:00:00,77.11333333333333,150.0,3
Resort Hotel,D,Online TA,No Deposit,HB,TA/TO,Transient,2021-07-02 00:00:00,145.0,75.0,1
Resort Hotel,D,Direct,No Deposit,BB,Direct,Transient,2021-07-02 00:00:00,99.67,75.0,1
Resort Hotel,D,Offline TA/TO,No Deposit,BB,TA/TO,Transient,2021-07-02 00:00:00,63.730000000000004,75.0,2
Resort Hotel,D,Online TA,No Deposit,BB,TA/TO,Transient,2021-07-02 00:00:00,108.62,75.0,5
Resort Hotel,D,Offline TA/TO,No Deposit,BB,TA/TO,Contract,2021-07-02 00:00:00,93.5625,75.0,4
Resort Hotel,D,Offline TA/TO,No Deposit,BB,TA/TO,Transient.Party,2021-07-02 00:00:00,67.58,75.0,1
Resort Hotel,D,Offline TA/TO,No Deposit,HB,TA/TO,Contract,2021-07-02 00:00:00,89.68,75.0,1
Resort Hotel,E,Online TA,No Deposit,BB,TA/TO,Transient,2021-07-02 00:00:00,114.85499999999999,60.0,2
Resort Hotel,E,Online TA,No Deposit,HB,TA/TO,Transient,2021-07-02 00:00:00,119.35,60.0,1
Resort Hotel,E,Direct,No Deposit,BB,Direct,Transient,2021-07-02 00:00:00,80.0,60.0,1
Resort Hotel,E,Offline TA/TO,No Deposit,BB,TA/TO,Contract,2021-07-02 00:00:00,92.625,60.0,2
Resort Hotel,E,Offline TA/TO,No Deposit,BB,TA/TO,Transient.Party,2021-07-02 00:00:00,82.88,60.0,1
Resort Hotel,E,Offline TA/TO,No Deposit,FB,TA/TO,Transient,2021-07-02 00:00:00,199.5,60.0,1
